"No.","Time","Source","Destination","Protocol","Length","Info"
"131","6.132470","::1","::1","HTTP","402","GET /anz-logo.jpg HTTP/1.1 "
"140","6.363216","::1","::1","HTTP","1065","HTTP/1.1 200 OK  (JPEG JFIF image)"
"505","22.697209","::1","::1","HTTP","403","GET /bank-card.jpg HTTP/1.1 "
"567","24.333701","::1","::1","HTTP","348","HTTP/1.1 200 OK  (JPEG JFIF image)"
"818","36.266571","::1","::1","HTTP","401","GET /anz-png.png HTTP/1.1 "
"827","36.412652","::1","::1","HTTP","790","HTTP/1.1 200 OK  (PNG)"
"1051","46.737160","::1","::1","HTTP","389","GET /how-to-commit-crimes.docx HTTP/1.1 "
"1077","47.744581","::1","::1","HTTP","488","HTTP/1.1 200 OK  (application/vnd.openxmlformats-officedocument.wordprocessingml.document)"
"1263","55.003920","::1","::1","HTTP","619","GET /hiddenmessage2.txt HTTP/1.1 "
"1337","56.697723","::1","::1","HTTP","1453","HTTP/1.1 200 OK  (text/plain)"
"1552","66.669786","::1","::1","HTTP","609","GET /evil.pdf HTTP/1.1 "
"1598","67.704563","::1","::1","HTTP","1486","HTTP/1.1 200 OK  (application/pdf)"
"1774","75.599414","::1","::1","HTTP","403","GET /atm-image.jpg HTTP/1.1 "
"1796","75.906854","::1","::1","HTTP","352","HTTP/1.1 200 OK  (JPEG JFIF image)"
"2085","89.620153","::1","::1","HTTP","617","GET /ANZ_Document.pdf HTTP/1.1 "
"2537","97.648691","::1","::1","HTTP","1284","HTTP/1.1 200 OK  (application/pdf)"
"2662","103.007294","::1","::1","HTTP","618","GET /ANZ_Document2.pdf HTTP/1.1 "
"3522","112.142837","::1","::1","HTTP","744","HTTP/1.1 200 OK  (application/pdf)"
"3683","119.921382","::1","::1","HTTP","398","GET /ANZ1.jpg HTTP/1.1 "
"3861","122.973950","::1","::1","HTTP","1471","HTTP/1.1 200 OK  (JPEG JFIF image)"
"4074","132.661962","::1","::1","HTTP","398","GET /ANZ2.jpg HTTP/1.1 "
"4277","135.366278","::1","::1","HTTP","282","HTTP/1.1 200 OK  (JPEG JFIF image)"
"4462","143.793646","::1","::1","HTTP","584","GET /broken.png HTTP/1.1 "
"4476","143.999793","::1","::1","HTTP","1020","HTTP/1.1 200 OK  (image/png)"
"4616","150.748121","::1","::1","HTTP","614","GET /securepdf.pdf HTTP/1.1 "
"5575","164.509469","::1","::1","HTTP","554","HTTP/1.1 200 OK  (application/pdf)"
